"12812: Kommunestyre- og fylkestingsvalget. Valgdeltakelse (prosent), etter region, alder, utdanningsnivå, statistikkvariabel, fireårlig og kjønn"

"region";"alder";"utdanningsnivå";"Valgdeltakelse 2019 Menn";"Valgdeltakelse 2019 Kvinner"
"3001 Halden";"Alder i alt";"Utdanningsnivå i alt";58.2;61.6
"3001 Halden";"Alder i alt";"Grunnskolenivå";43.7;48.6
"3001 Halden";"Alder i alt";"Videregående skolenivå";61.6;64.9
"3001 Halden";"Alder i alt";"Universitets- og høgskolenivå";78.1;76.0
"3001 Halden";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";15.6;16.4
"3001 Halden";"18-19 år";"Utdanningsnivå i alt";49.4;64.4
"3001 Halden";"18-19 år";"Grunnskolenivå";51.2;65.9
"3001 Halden";"18-19 år";"Videregående skolenivå";50.0;.
"3001 Halden";"18-19 år";"Universitets- og høgskolenivå";.;.
"3001 Halden";"18-19 år";"Uoppgitt eller ingen fullført utdanning";..;11.1
"3001 Halden";"20-24 år";"Utdanningsnivå i alt";37.1;47.3
"3001 Halden";"20-24 år";"Grunnskolenivå";28.5;42.3
"3001 Halden";"20-24 år";"Videregående skolenivå";43.3;47.7
"3001 Halden";"20-24 år";"Universitets- og høgskolenivå";:;:
"3001 Halden";"20-24 år";"Uoppgitt eller ingen fullført utdanning";10.0;4.9
"3001 Halden";"25-44 år";"Utdanningsnivå i alt";45.8;51.9
"3001 Halden";"25-44 år";"Grunnskolenivå";29.6;30.2
"3001 Halden";"25-44 år";"Videregående skolenivå";46.4;50.4
"3001 Halden";"25-44 år";"Universitets- og høgskolenivå";69.2;69.2
"3001 Halden";"25-44 år";"Uoppgitt eller ingen fullført utdanning";15.3;14.9
"3001 Halden";"45-66 år";"Utdanningsnivå i alt";64.7;67.4
"3001 Halden";"45-66 år";"Grunnskolenivå";49.2;50.7
"3001 Halden";"45-66 år";"Videregående skolenivå";67.8;70.4
"3001 Halden";"45-66 år";"Universitets- og høgskolenivå";83.1;82.9
"3001 Halden";"45-66 år";"Uoppgitt eller ingen fullført utdanning";15.1;19.1
"3001 Halden";"67-79 år";"Utdanningsnivå i alt";76.6;73.8
"3001 Halden";"67-79 år";"Grunnskolenivå";62.4;60.0
"3001 Halden";"67-79 år";"Videregående skolenivå";78.0;78.3
"3001 Halden";"67-79 år";"Universitets- og høgskolenivå";88.2;86.2
"3001 Halden";"67-79 år";"Uoppgitt eller ingen fullført utdanning";28.2;27.0
"3001 Halden";"80 år eller eldre";"Utdanningsnivå i alt";69.1;56.9
"3001 Halden";"80 år eller eldre";"Grunnskolenivå";59.4;48.1
"3001 Halden";"80 år eller eldre";"Videregående skolenivå";72.1;62.9
"3001 Halden";"80 år eller eldre";"Universitets- og høgskolenivå";79.1;70.7
"3001 Halden";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";28.6;25.0
"3002 Moss";"Alder i alt";"Utdanningsnivå i alt";59.4;64.2
"3002 Moss";"Alder i alt";"Grunnskolenivå";43.9;50.3
"3002 Moss";"Alder i alt";"Videregående skolenivå";63.0;66.2
"3002 Moss";"Alder i alt";"Universitets- og høgskolenivå";78.1;78.5
"3002 Moss";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";16.6;25.8
"3002 Moss";"18-19 år";"Utdanningsnivå i alt";53.6;62.5
"3002 Moss";"18-19 år";"Grunnskolenivå";54.1;63.3
"3002 Moss";"18-19 år";"Videregående skolenivå";.;100.0
"3002 Moss";"18-19 år";"Universitets- og høgskolenivå";.;.
"3002 Moss";"18-19 år";"Uoppgitt eller ingen fullført utdanning";..;18.2
"3002 Moss";"20-24 år";"Utdanningsnivå i alt";39.7;48.8
"3002 Moss";"20-24 år";"Grunnskolenivå";32.5;34.9
"3002 Moss";"20-24 år";"Videregående skolenivå";43.5;53.0
"3002 Moss";"20-24 år";"Universitets- og høgskolenivå";:;:
"3002 Moss";"20-24 år";"Uoppgitt eller ingen fullført utdanning";6.1;11.1
"3002 Moss";"25-44 år";"Utdanningsnivå i alt";46.6;55.5
"3002 Moss";"25-44 år";"Grunnskolenivå";32.9;37.5
"3002 Moss";"25-44 år";"Videregående skolenivå";48.3;51.8
"3002 Moss";"25-44 år";"Universitets- og høgskolenivå";67.7;71.1
"3002 Moss";"25-44 år";"Uoppgitt eller ingen fullført utdanning";14.7;24.9
"3002 Moss";"45-66 år";"Utdanningsnivå i alt";65.3;69.9
"3002 Moss";"45-66 år";"Grunnskolenivå";47.9;53.5
"3002 Moss";"45-66 år";"Videregående skolenivå";67.1;70.1
"3002 Moss";"45-66 år";"Universitets- og høgskolenivå";82.3;83.7
"3002 Moss";"45-66 år";"Uoppgitt eller ingen fullført utdanning";21.5;28.8
